Sequence_ID,Status
MH882531.1,Somente em Zika479ONE
MH882532.1,Somente em Zika479ONE
MH882533.1,Somente em Zika479ONE
MH882534.1,Somente em Zika479ONE
MH882535.1,Somente em Zika479ONE
MH882536.1,Somente em Zika479ONE
MH882537.1,Somente em Zika479ONE
MH882538.1,Somente em Zika479ONE
MH882539.1,Somente em Zika479ONE
MH882540.1,Somente em Zika479ONE
MH882541.1,Somente em Zika479ONE
MH882542.1,Somente em Zika479ONE
MH882543.1,Ambos
MH882544.1,Somente em Zika479ONE
MH882546.1,Ambos
MH882547.1,Somente em Zika479ONE
MH882548.1,Somente em Zika479ONE
MH900227.1,Ambos
MH916803.1,Somente em Zika270ONE
MK028857.1,Somente em Zika270ONE
MK028860.1,Somente em Zika270ONE
MK028861.1,Somente em Zika270ONE
MK105975.1,Somente em Zika270ONE
MK238038.1,Somente em Zika479ONE
MK241415.1,Somente em Zika479ONE
MK241416.1,Somente em Zika479ONE
MK241417.1,Ambos
MK269353.1,Somente em Zika270ONE
MK269354.1,Somente em Zika270ONE
MK269357.1,Somente em Zika270ONE
MK829152.1,Somente em Zika479ONE
MK829153.1,Somente em Zika479ONE
MN025403.1,Somente em Zika270ONE
MN100039.1,Somente em Zika270ONE
MN473451.1,Somente em Zika270ONE
MN473452.1,Somente em Zika270ONE
MN473453.1,Somente em Zika270ONE
MN473454.1,Somente em Zika270ONE
MN611472.1,Somente em Zika270ONE
MT377491.2,Somente em Zika270ONE
MT377492.1,Somente em Zika270ONE
MT377494.1,Somente em Zika270ONE
MT377495.2,Somente em Zika270ONE
MT377497.1,Somente em Zika270ONE
MT377498.1,Somente em Zika270ONE
MT377501.2,Somente em Zika270ONE
MT377502.1,Somente em Zika270ONE
MT377503.1,Somente em Zika270ONE
MT377504.1,Somente em Zika270ONE
MT483911.1,Somente em Zika270ONE
MT505350.1,Somente em Zika270ONE
MW122373.1,Somente em Zika270ONE
MW122374.1,Somente em Zika270ONE
MW122376.1,Somente em Zika270ONE
MW122379.1,Somente em Zika270ONE
MW122380.1,Somente em Zika270ONE
MW122384.1,Somente em Zika270ONE
MW122386.1,Somente em Zika270ONE
MW122387.1,Somente em Zika270ONE
MW122390.1,Somente em Zika270ONE
MW122391.1,Somente em Zika270ONE
MW122392.1,Somente em Zika270ONE
MW122393.1,Somente em Zika270ONE
MW122394.1,Somente em Zika270ONE
MW122395.1,Somente em Zika270ONE
MW122396.1,Somente em Zika270ONE
MW122397.1,Somente em Zika270ONE
MW122398.1,Somente em Zika270ONE
